,Unnamed: 0,0,10,50,100,200,500,1000
35,0.0036,0.82,0.72,0.82,0.96,0.7,0.86,0.96
36,0.0037,0.8,0.86,0.82,0.86,0.82,0.96,0.96
37,0.0038,0.82,0.82,0.9,0.7,0.8,0.96,0.88
38,0.0039,0.96,0.9,0.8,0.98,0.96,0.96,0.96
39,0.004,0.78,0.82,0.82,0.7,0.92,0.92,0.8
40,0.0041,0.78,0.96,0.96,0.72,0.8,0.96,0.96
41,0.0042,0.84,0.96,0.96,0.7,0.84,0.8,0.96
42,0.0043,0.96,0.7,0.92,0.98,0.7,0.96,0.76
43,0.0044,0.98,0.7,0.7,0.98,0.7,0.76,0.72
44,0.0045,0.98,0.72,0.9,0.92,0.7,0.78,0.82
45,0.0046,0.96,0.84,0.86,0.98,0.84,0.72,0.92
46,0.0047,0.98,0.98,0.98,0.98,0.98,0.98,0.96
47,0.0048,0.9,0.88,0.9,0.7,0.7,0.7,0.86
48,0.0049,0.7,0.7,0.94,0.78,0.96,0.98,0.9
49,0.005,0.98,0.96,0.78,0.82,0.98,0.7,0.96
50,0.0051,0.98,0.82,0.98,0.96,0.76,0.7,0.96
51,0.0052,0.96,0.9,0.84,0.7,0.96,0.96,0.9
52,0.0053,0.98,0.96,0.7,0.94,0.98,0.9,0.8
53,0.0054,0.98,0.7,0.98,0.98,0.72,0.98,0.7
54,0.0055,0.92,0.84,0.82,0.98,0.7,0.96,0.84
55,0.0056,0.98,0.96,0.98,0.98,0.98,0.98,0.98
56,0.0057,0.76,0.98,0.96,0.72,0.98,0.98,0.72
57,0.0058,0.74,0.84,0.7,0.82,0.98,0.76,0.7
58,0.0059,0.84,0.98,0.98,0.76,0.78,0.7,0.76
59,0.006,0.9,0.98,0.76,0.8,0.72,0.96,0.92
60,0.0061,0.9,0.7,0.98,0.98,0.74,0.7,0.7
61,0.0062,0.7,0.88,0.74,0.96,0.76,0.72,0.7
62,0.0063,0.78,0.7,0.84,0.7,0.76,0.7,0.96
63,0.0064,0.92,0.96,0.7,0.96,0.7,0.76,0.86
64,0.0065,0.96,0.9,0.98,0.7,0.7,0.74,0.88
65,0.0066,0.7,0.98,0.7,0.92,0.9,0.7,0.8
66,0.0067,0.86,0.9,0.7,0.84,0.86,0.7,0.8
67,0.0068,0.7,0.7,0.78,0.76,0.9,0.7,0.88
